pp;couple;partner;condition;leuk;vriendelijk;aardig;aangenaam;fijn;vertrouwen;sympathie;graag;band;gemoed;responsief;invloed;opmerken;bewust;niet_alleen;chameleon;positive_perception;bond;copresence
1;1;1;2;4.018;5.048;5.036;4.048;3.018;5.018;5.03;2.97;4.048;1.181;4.006;1.337;5.06;6.042;6.054;1;21.168;14.199;22.499000000000002
2;1;2;2;5.673;5.361;6.552;4.972;4.676;6.324;6.155;6.577;6.282;3.544;4.972;5.318;5.242;5.048;7.0;0;27.234;22.6;27.58
3;2;2;2;4.135;3.417;4.025;1.938;3.054;3.983;3.983;4.346;2.792;1.439;1.532;1.617;1.515;1.363;1.583;0;16.569;13.751000000000001;7.609999999999999
4;2;1;2;3.03;4.946;4.843;4.753;4.807;2.024;3.337;4.229;4.398;1.0;5.669;1.03;6.566;6.759;7.0;0;22.378999999999998;10.59;27.024
5;3;2;2;5.056;6.104;6.028;6.552;5.792;4.287;7.0;5.589;2.952;5.546;7.0;6.155;7.0;7.0;7.0;1;29.531999999999996;22.421999999999997;34.155
6;3;1;2;6.5;6.56;7.0;6.458;6.018;6.687;6.801;6.506;5.639;4.524;5.669;4.259;6.072;6.006;5.398;0;32.536;24.518;27.404
7;4;1;2;4.331;5.169;4.542;5.446;5.157;4.452;3.398;5.506;5.482;5.337;4.633;6.048;5.337;6.506;6.645;1;24.645;18.692999999999998;29.169
8;4;2;2;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;6.104;7.0;4.034;7.0;7.0;7.0;0;35.0;27.104;32.034
9;5;2;2;6.048;6.036;6.084;6.066;1.0;5.048;5.482;6.548;6.06;6.06;6.078;4.012;6.06;6.048;6.108;0;25.233999999999998;23.137999999999998;28.306
10;5;1;2;5.479;5.487;4.854;5.91;6.096;6.341;6.087;6.037;6.011;3.468;3.789;4.017;4.363;7.0;7.0;0;27.826;21.933;26.169
11;6;1;2;6.459;6.054;6.155;6.054;6.146;6.628;6.417;6.417;6.4;6.248;6.899;5.006;6.552;6.628;6.721;0;30.868000000000002;25.71;31.806
